No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
117,2013,3,5,20,203,250,98,75.4,100,44,6.2,1006.9,-6.1,0,13,0.7,5
118,2013,3,5,21,217,264,113,108,100,15,5.1,1007,-5.6,0,14,0.8,5
119,2013,3,5,22,224,271,112,108,100,15,4.3,1006.8,-5.2,0,14,0.1,5
120,2013,3,5,23,228,289,108,113.8,100,15,3.6,1006.5,-5.1,0,3,0.2,5
121,2013,3,6,0,216,241,90,107.8,100,15,3.3,1006.5,-5.4,0,3,0,5
122,2013,3,6,1,200,214,84,114.93426,100,15,2.5,1006.3,-4.7,0,3,0.2,5
123,2013,3,6,2,192,207,78,98.73426,100,15,2.3,1006,-4.7,0,6,0.2,5
124,2013,3,6,3,185,186,69,118.35382,100,15,2,1005.8,-5.4,0,13,0.5,5
125,2013,3,6,4,148,177,70,114.1091,100,15,2,1005.5,-5.4,0,14,0,5
126,2013,3,6,5,144,173,71,115.9175,100,15,2.4,1005.6,-5.3,0,2,0.8,5
127,2013,3,6,6,174,175,81,90.6,100,15,3.1,1006.4,-5.8,0,9,0.6,5
128,2013,3,6,7,178,180,80,110.55382,100,15,4.8,1007.3,-6.2,0,1,1.6,5
129,2013,3,6,8,193,217,90,103.93426,100,15,6,1007.5,-5.7,0,6,0.6,5
130,2013,3,6,9,209,251,118,100.4,100,15,7.4,1007.3,-5,0,4,0,5
131,2013,3,6,10,209,240,116,150,3799,11,9.6,1006.7,-5.1,0,1,1.3,5
132,2013,3,6,11,212,242,109,153,4400,9,10.2,1005.7,-4.2,0,9,1,5
133,2013,3,6,12,218,277,110,170,4400,9,11,1005,-4.7,0,8,0.8,5
134,2013,3,6,13,234,283,126,180,4400,9,13.5,1004.1,-4.2,0,8,0.7,5
135,2013,3,6,14,245,285,124,172,3799,11,14.6,1003.4,-4.2,0,8,1.3,5
136,2013,3,6,15,238,284,148,166,3500,20,14.6,1003.4,-3.7,0,13,1.6,5
137,2013,3,6,16,162,288,155,153,2240,20,14.1,1003.4,-3.7,0,15,1.2,5
138,2013,3,6,17,3,289,156,143,3299,25,12.3,1004,-3.9,0,13,0.7,5
139,2013,3,6,18,3,290,162,157,3500,26,10.5,1005,-3.6,0,7,0.9,5
140,2013,3,6,19,120,307,146,171,3600,26,7.7,1005.7,-2.6,0,7,0.9,5
149,2013,3,7,4,201,248,53,113,4500,26,1.8,1004.6,-3.3,0,5,0.6,5
150,2013,3,7,5,149,165,46,104,4299,26,1.1,1004.8,-3.6,0,3,0,5
151,2013,3,7,6,131,152,39,100,4299,26,1.3,1004.7,-3.2,0,2,0.5,5
152,2013,3,7,7,126,165,38,112,5099,26,4.2,1005,-2,0,15,0.7,5
153,2013,3,7,8,154,187,75,171,7000,26,8.6,1004.7,-2.4,0,9,0.7,5
154,2013,3,7,9,223,304,168,208,6099,26,10.3,1004.1,-2.1,0,0,0.7,5
160,2013,3,7,15,161,170,59,93,2100,99,18.4,995.6,-2.6,0,12,2.6,5
161,2013,3,7,16,198,253,64,82,1899,107,17.7,995.1,-1.6,0,12,0.8,5
162,2013,3,7,17,222,284,77,111,2299,107,14.9,994.9,-1.3,0,13,0.4,5
163,2013,3,7,18,243,322,84,160,2799,107,12.2,995.3,-0.4,0,4,0.5,5
173,2013,3,8,4,247,282,68,175,4700,107,4.8,996.6,-1.9,0,15,0.8,5
174,2013,3,8,5,247,295,59,155,4200,107,4.2,997.3,-1.8,0,14,0.7,5
175,2013,3,8,6,240,274,65,166,4299,107,3.8,997.8,-1.6,0,14,0.2,5
180,2013,3,8,11,233,262,77,145,2700,107,20.4,998.4,-1.4,0,12,2.1,5
182,2013,3,8,13,222,268,50,122,2000,107,22.4,996.2,-3.1,0,8,1.9,5
183,2013,3,8,14,152,232,48,64,1300,107,18.1,996,1.1,0,9,4.7,5
184,2013,3,8,15,179,400,70,90,2200,107,14.9,997.2,0.7,0,2,2.6,5
185,2013,3,8,16,245,542,87,158,3000,106,12.7,997.7,0.1,0,2,2.6,5
186,2013,3,8,17,169,298,59,115,1899,106,10.3,998,-1.1,0,9,2.2,5
187,2013,3,8,18,124,200,43,103,1300,106,9,998.6,-2,0,8,0.7,5
188,2013,3,8,19,95,113,34,85,1000,106,8.1,998.6,-1.7,0,8,0.1,5
189,2013,3,8,20,85,102,35,77,1000,106,7.6,998.3,-1.4,0,1,0.4,5
190,2013,3,8,21,95,129,36,97,1100,106,6.8,997.9,-2.4,0,0,0,5
191,2013,3,8,22,84,88,32,79,1100,106,6.5,997.1,-1.9,0,4,1,5
192,2013,3,8,23,95,107,35,117,1300,106,5.9,995.7,-2.7,0,1,0.7,5
193,2013,3,9,0,86,90,41,103,1700,106,4.7,994.3,-3.6,0,0,0,5
194,2013,3,9,1,54,72,48,72,1800,106,4.3,993.1,-3.5,0,13,1.5,5
195,2013,3,9,2,92,101,39.48496,84,1600,106,4.3,992.1,-3.7,0,13,1.3,5
196,2013,3,9,3,91,97,48,93,1780,106,3.5,990.9,-3.8,0,13,0.5,5
197,2013,3,9,4,94,102,42,70.4,1300,106,2.8,989.9,-3.6,0,3,0.1,5
198,2013,3,9,5,98,101,47,97,2200,106,2.5,990,-3.4,0,3,0,5
199,2013,3,9,6,96,118,40,100,2200,106,2.8,990.3,-2.9,0,7,0.5,5
200,2013,3,9,7,101,123,43,91,2200,106,4.4,990.8,-2.3,0,15,0.7,5
201,2013,3,9,8,106,124,46,92,2000,106,10,991.7,-2,0,0,1.7,5
202,2013,3,9,9,110,236,57,96,2000,106,17.9,994.1,-1.4,0,13,5.1,5
203,2013,3,9,10,86,947,19,15,400,106,15.4,996.3,-5.7,0,13,6.9,5
204,2013,3,9,11,57,983,3,9,300,106,14.2,998.8,-9.8,0,13,4.5,5
205,2013,3,9,12,87,167.2,3,8,300,106,12,1002.4,-14.7,0,6,7.3,5
206,2013,3,9,13,69,446.4,3,8,300,106,10.4,1004.5,-16.9,0,14,4.5,5
207,2013,3,9,14,51,957,3,6,300,103,10.8,1005.9,-18.6,0,3,3.5,5
208,2013,3,9,15,34,438,3,7,300,96,10.4,1007,-17.9,0,9,2.1,5
209,2013,3,9,16,20,238,3,8,400,96,10.8,1008.7,-18.6,0,3,3.5,5
210,2013,3,9,17,12,154,3,8,400,96,9.5,1010.7,-18.6,0,3,2.3,5
211,2013,3,9,18,12,111,3,12,400,96,7.7,1013.8,-19.1,0,6,2.3,5
212,2013,3,9,19,18,113,3,17,400,96,6.6,1015.9,-19.1,0,3,2.8,5
213,2013,3,9,20,15,83,3,15,400,96,5.7,1017.5,-19,0,14,1.4,5
214,2013,3,9,21,15,76,3,9,400,96,4.9,1018.5,-18.9,0,7,0.9,5
215,2013,3,9,22,11,47,3,7,400,96,4.9,1019,-19.6,0,13,0.8,5
216,2013,3,9,23,9,24,3,7,400,96,2.5,1019.4,-18.3,0,3,0.2,5
217,2013,3,10,0,3,8,3,7,400,96,3.4,1018.9,-18.1,0,5,1,5
218,2013,3,10,1,8,9,3,6,400,96,5.4,1019.3,-20,0,6,1.6,5
219,2013,3,10,2,3,7,3,12,400,96,4,1019.1,-17.6,0,13,1.2,5
220,2013,3,10,3,16,47,6,65,900,96,3.7,1019.4,-18.5,0,13,0.2,5
221,2013,3,10,4,31,58,9,85,1000,96,0.9,1020.1,-16.5,0,2,0.7,5
222,2013,3,10,5,37,56,14,71,900,96,0.3,1020.4,-15.7,0,6,0.7,5
223,2013,3,10,6,29,64,26,81,1000,96,-0.9,1020.7,-13.8,0,4,0.6,5
224,2013,3,10,7,24,42,28,60,800,96,3.8,1021.6,-15.5,0,12,2,5
225,2013,3,10,8,26,64,24,64,900,96,6.1,1021.7,-16.5,0,12,3.3,5
226,2013,3,10,9,22,41,16,39,600,96,7.1,1021.2,-17.1,0,8,2.9,5
227,2013,3,10,10,21,55,13,25,700,96,8.8,1020.3,-15.7,0,12,3.3,5
228,2013,3,10,11,29,64,20,25,900,96,9.9,1019.8,-16.4,0,10,3.5,5
229,2013,3,10,12,35,62,20,24,700,96,11,1018.9,-15.5,0,15,3,5
230,2013,3,10,13,29,57,17,22,600,96,11.7,1017.8,-14.1,0,10,3.6,5
231,2013,3,10,14,35,59,12,20,600,96,11.5,1017,-13.5,0,8,2.9,5
232,2013,3,10,15,42,70,11,20,600,103,10.8,1016.6,-14.1,0,11,2.5,5
233,2013,3,10,16,45,82,11,22,600,103,10.4,1016.2,-14.4,0,12,3.1,5
234,2013,3,10,17,42,81,12,23,600,103,9.3,1016.1,-13.2,0,8,2,5
235,2013,3,10,18,54,109,16,35,700,103,8.3,1016.4,-12.2,0,11,2.1,5
236,2013,3,10,19,68,132,24,52,900,103,7.6,1016.8,-11.7,0,12,1.7,5
237,2013,3,10,20,85,141,36,65,1000,103,6.1,1017.1,-11.1,0,15,1.1,5
238,2013,3,10,21,98,164,52,105,1300,103,5.4,1017.2,-10.8,0,15,1.2,5
239,2013,3,10,22,106,172,54,107,1300,103,5.1,1016.6,-10.3,0,15,2.2,5
240,2013,3,10,23,110,169,51,90,1399,103,4.5,1016.8,-10.4,0,4,1.1,5
241,2013,3,11,0,125,184,51,79,1300,103,2.7,1016.7,-9,0,13,0.8,5
242,2013,3,11,1,127,203,45,90,1500,103,1.5,1016.1,-8.9,0,13,1,5
243,2013,3,11,2,128,213,43,98,1700,103,0,1015.3,-7.7,0,4,0.6,5
244,2013,3,11,3,114,160,38,93,1700,103,-0.7,1015.2,-8.2,0,4,0,5
245,2013,3,11,4,80,115,32,88,1899,103,-1.1,1015.1,-7.9,0,13,0.8,5
246,2013,3,11,5,100,160,34,90,1899,103,-1.4,1014.9,-8.4,0,13,0.5,5
247,2013,3,11,6,82,121,33,86,2500,103,-1.3,1015.1,-7.4,0,3,0.1,5
248,2013,3,11,7,98,145,35,89,2299,103,0.7,1015.3,-7.8,0,2,0.4,5
249,2013,3,11,8,100,161,40,94,2799,103,3.2,1015.3,-8.8,0,2,1.5,5
250,2013,3,11,9,122,188,56,106,3000,103,5,1014.8,-9.2,0,9,1.7,5
251,2013,3,11,10,123,178,62,111,2399,103,6.4,1013.8,-9.1,0,1,1,5
252,2013,3,11,11,123,170,68,116,2299,103,8,1012.8,-9,0,4,1.3,5
253,2013,3,11,12,134,182,75,127,2299,103,9.5,1011.4,-8.6,0,2,0.8,5
254,2013,3,11,13,136,165,84,118,2000,103,10.4,1010.2,-7.8,0,8,2.6,5
255,2013,3,11,14,124,159,98,74,1300,103,10.8,1009,-7,0,12,1,5
256,2013,3,11,15,124,166,124,76,1700,103,10.7,1008.2,-7.1,0,8,1.5,5
257,2013,3,11,16,141,184,137,92,1800,103,10.3,1007.4,-6.5,0,15,1.5,5
258,2013,3,11,17,148,208,163,103,2100,96,9.6,1007.6,-6.3,0,11,1.3,5
259,2013,3,11,18,170,245,192,118,2600,80,9.7,1007.8,-6.2,0,8,1.9,5
260,2013,3,11,19,192,271,192,135,2799,58,9.6,1008,-5.9,0,10,1.2,5
261,2013,3,11,20,197,277,188,140,2700,53,9.5,1008.2,-5.6,0,10,1.6,5
262,2013,3,11,21,201,276,184,144,2799,53,9.1,1007.8,-4.5,0,8,0,5
263,2013,3,11,22,204,293,179,144,2799,53,8.7,1007.4,-3.5,0,11,0,5
264,2013,3,11,23,219,307,151,137,2700,53,7.9,1006.1,-3.6,0,8,0.5,5
265,2013,3,12,0,167,243,64,113,2000,53,6.5,1005.4,-4.3,0,13,1,5
266,2013,3,12,1,112,179,38,102,1399,53,5.9,1005,-3.5,0,0,0.4,5
267,2013,3,12,2,113,160,43,102,1500,53,6.7,1004,-4.4,0,2,0,5
268,2013,3,12,3,118,169,61,104,1700,53,6.1,1004.1,-1.8,0.1,2,1,5
269,2013,3,12,4,128,198,56,103,2200,53,4.3,1004.5,1.2,0.7,2,0.7,5
270,2013,3,12,5,141,231,25,105,2399,53,4.6,1004.2,1.1,0.1,6,1.1,5
271,2013,3,12,6,148,164,22,106,2500,53,4.1,1004.7,1.6,1.3,7,0.7,5
272,2013,3,12,7,146,164,21,104,2600,53,3.5,1004.8,1.5,0.8,14,0.2,5
273,2013,3,12,8,128,164,19,102,2000,53,3.2,1004.8,1.6,0.3,1,1.3,5
274,2013,3,12,9,124,95,16,98,2000,53,3.3,1004.8,1.5,0,5,0.7,5
275,2013,3,12,10,132,96,14,98,2200,53,3.5,1004.9,1.4,0,1,1.3,5
276,2013,3,12,11,134,94,15,101,2000,53,4.2,1004.7,1.9,0,5,1.3,5
277,2013,3,12,12,136,103,17,101,2100,53,4.7,1004.9,2.1,0,1,1.3,5
278,2013,3,12,13,156,116,21,103,2200,53,5.5,1004.7,2.1,0,4,1.1,5
279,2013,3,12,14,152,108,20,96,2000,53,6.1,1005.1,2.5,0,2,2.1,5
280,2013,3,12,15,140,92,25,85,1600,43,6.6,1005.7,3,0,1,1.9,5
281,2013,3,12,16,150,115,24,91,1899,32,7.6,1006.1,2.3,0,11,0.5,5
282,2013,3,12,17,152,103,27,96,1800,22,6.9,1007.2,3,0,2,1.1,5
283,2013,3,12,18,125,132,25,100,1899,10,6.1,1009.1,2.7,0,6,0.9,5
284,2013,3,12,19,131,151,20,114,2399,10,5.1,1010.6,2.8,0,15,0.9,5
285,2013,3,12,20,139,159,22,118,2600,10,4.5,1012.4,2.5,0,5,0.8,5
286,2013,3,12,21,145,110,22,102,1800,10,4.3,1013.7,1.5,0,4,0.6,5
287,2013,3,12,22,128,103,21,96,1899,10,5.5,1014.8,-4.9,0,3,1.3,5
288,2013,3,12,23,145,109,19,102,2600,10,5.6,1015.6,-7.3,0,1,1.4,5
289,2013,3,13,0,88,88,17,85,1800,11,4.7,1016.4,-8.1,0,4,1.8,5
290,2013,3,13,1,44,44,13,60,1000,26,3.9,1016.7,-9.8,0,1,1.9,5
291,2013,3,13,2,14,14,13,20,500,35,3,1017.2,-9.6,0,1,1.2,5
292,2013,3,13,3,12,12,10,19,500,35,1.3,1017.7,-8.3,0,10,0.8,5
293,2013,3,13,4,12,10,11,19,300,47,-0.1,1018.5,-8.8,0,10,0,5
294,2013,3,13,5,12,14,11,33,600,47,-0.8,1019.2,-7.8,0,3,0,5
295,2013,3,13,6,14,19,9,49,800,47,1.7,1020.3,-10.8,0,15,0.5,5
296,2013,3,13,7,14,14,8,61,800,47,3.7,1021.5,-10.4,0,1,1.6,5
297,2013,3,13,8,18,36,12,62,1000,47,4.9,1022.7,-11.7,0,4,2.2,5
298,2013,3,13,9,24,37,17,45,900,47,6.1,1023,-11.1,0,0,1.4,5
299,2013,3,13,10,15,15,13,23,800,69,6.5,1022.9,-12.7,0,1,1.7,5
300,2013,3,13,11,14,6,9,19,500,75,6.8,1022.2,-12.9,0,0,3.4,5
301,2013,3,13,12,3,9,7,20,500,78,7.5,1021.5,-12.3,0,0,2.9,5
302,2013,3,13,13,6,10,6,22,500,80,8.1,1020.8,-13.6,0,5,1.8,5
303,2013,3,13,14,18,6,5,18,400,86,8.5,1020.2,-13.2,0,2,2.2,5
304,2013,3,13,15,6,8,5,22,500,86,8.4,1019.9,-13.3,0,2,1.8,5
305,2013,3,13,16,12,16,5,30,500,86,8,1019.9,-11.9,0,10,2.7,5
306,2013,3,13,17,28,38,7,35,500,86,6.8,1020.5,-10.9,0,8,2.6,5
307,2013,3,13,18,38,51,8,44,600,86,5.9,1021.1,-9.2,0,8,1.4,5
308,2013,3,13,19,47,73,10,57,700,86,5.4,1021.7,-10,0,8,2.2,5
309,2013,3,13,20,57,79,13,80,900,86,4.5,1022.2,-9.3,0,8,0.9,5
310,2013,3,13,21,53,73,12,89,1000,86,4.1,1022.3,-8,0,12,0.9,5
311,2013,3,13,22,70,102,21,105,1200,86,4.1,1022.2,-8,0,11,2,5
312,2013,3,13,23,67,88,19,98,1100,86,3.3,1022.3,-6.7,0,12,1.5,5
313,2013,3,14,0,69,93,17,79,1200,86,2.7,1022.5,-4.5,0,11,2.2,5
314,2013,3,14,1,75,102,17,62,1399,86,1.6,1022.5,-4.1,0,8,1.2,5
315,2013,3,14,2,80,88,14,70,1600,86,0.9,1022.3,-4.7,0,12,0.9,5
316,2013,3,14,3,62,64,14,71,1500,86,0,1021.9,-5.2,0,0,0.7,5
317,2013,3,14,4,71,55,12,73,1300,86,-0.5,1021.9,-4.7,0,0,0,5
318,2013,3,14,5,54,63,13,72,1200,86,0.1,1022.3,-4,0,0,1.9,5
319,2013,3,14,6,64,52,15,71,1200,86,-0.3,1022.3,-4.2,0,0,1.5,5
320,2013,3,14,7,76,99,13,80,2399,86,0.1,1022.7,-4.4,0,0,1.8,5
